id_specification,specification,id_site,site,Month,goods_specy,goods_variety,nb_individus,Baseline_malt_yield_r2,Baseline_malt_dry_yield,Baseline_goods_weight,Baseline_goods_moisture,Baseline_malt_moisture,Baseline_electricity,Baseline_thermal,Baseline_FAN,Baseline_friabilite,Baseline_coloration_EBC,Baseline_betaG,Baseline_quality,created_at,updated_at,deleted_at
6,ABI2 6RH / LOUVAIN,1,ROUEN,1,6RH,,0,84.57907229019635,93.26111446384583,383.7767857142858,12.841071428571437,3.907142857142858,47.688821402109284,488.11683876243785,151.91785714285717,90.725,3.749642857142855,151.14285714285714,0.8250000000000002,,,
5,ABI4 / MUBEX 2P6,1,ROUEN,1,6RH,FARO,0,84.57907229019635,93.26111446384583,383.7767857142858,12.841071428571437,3.907142857142858,47.688821402109284,488.11683876243785,151.91785714285717,90.725,3.749642857142855,151.14285714285714,0.8250000000000002,,,
4,GLOBE / SACOFRINA 2RP,1,ROUEN,1,2RP,PLANET,26,85.11336848416963,93.17459484630186,384.5346153846154,12.342307692307696,4.053846153846154,47.81551814975997,487.24392652431186,161.51538461538465,90.18846153846152,3.8961538461538443,102.42307692307692,0.9153846153846157,,,
3,GLOBE / SACOFRINA 6RH,1,ROUEN,1,6RH,FARO,12,83.79143485801116,94.00760848428024,381.7916666666667,14.216666666666667,3.7583333333333333,49.70940083820056,472.11246105089555,133.65,92.60000000000001,3.5258333333333307,203.33333333333334,0.5666666666666667,,,
2,HEIN-A,1,ROUEN,1,2RP,PLANET,0,84.57907229019635,93.26111446384583,383.7767857142858,12.841071428571437,3.907142857142858,47.688821402109284,488.11683876243785,151.91785714285717,90.725,3.749642857142855,151.14285714285714,0.8250000000000002,,,
1,HEIN-C,1,ROUEN,1,6RH,FARO,18,84.33240274258064,92.88842456445305,384.0055555555555,12.64444444444444,3.7944444444444443,46.29364685711812,498.99721507136667,150.23333333333335,90.25000000000001,3.6872222222222195,186.72222222222223,0.8666666666666667,,,
14,EFES,1,ROUEN,1,2RP,PLANET,0,84.57907229019635,93.26111446384583,383.7767857142858,12.841071428571437,3.907142857142858,47.688821402109284,488.11683876243785,151.91785714285717,90.725,3.749642857142855,151.14285714285714,0.8250000000000002,,,
6,ABI2 6RH / LOUVAIN,1,ROUEN,2,6RH,,0,84.60098942270645,93.38313354393999,384.55555555555554,12.94603174603175,3.926984126984127,47.80640606528958,490.7273652891301,142.77301587301585,88.43365079365074,3.715396825396822,240.28571428571428,0.7714285714285711,,,
5,ABI4 / MUBEX 2P6,1,ROUEN,2,6RH,FARO,0,84.60098942270645,93.38313354393999,384.55555555555554,12.94603174603175,3.926984126984127,47.80640606528958,490.7273652891301,142.77301587301585,88.43365079365074,3.715396825396822,240.28571428571428,0.7714285714285711,,,
4,GLOBE / SACOFRINA 2RP,1,ROUEN,2,2RP,PLANET,17,84.61664540752078,92.54599313103431,384.71764705882345,12.21764705882353,4.0,44.25343796484581,504.6323238876351,156.1529411764706,89.83529411764707,3.8305882352941163,143.47058823529412,0.8588235294117648,,,
