id_specification,specification,id_site,site,Month,goods_specy,goods_variety,nb_individus,Baseline_malt_yield_r2,Baseline_malt_dry_yield,Baseline_goods_weight,Baseline_goods_moisture,Baseline_malt_moisture,Baseline_electricity,Baseline_thermal,Baseline_FAN,Baseline_friabilite,Baseline_coloration_EBC,Baseline_betaG,Baseline_quality,created_at,updated_at,deleted_at
60,2RS,15,BOLELEMI1,1,2RP,TRAVELER,42,84.7642857142857,92.99166666666667,286.1857142857143,12.57560975609756,4.212499999999999,,,150.9090909090909,90.935,3.549166666666667,208.875,,,,
60,2RS,15,BOLELEMI1,2,2RP,TRAVELER,21,84.64857142857143,92.60833333333333,285.9157142857143,12.70476190476191,4.178571428571429,,,156.5,70.74142857142857,4.572857142857143,264.3076923076923,,,,
60,2RS,15,BOLELEMI1,3,2RP,TRAVELER,49,84.59367346938775,93.16578947368421,285.2675510204082,13.11428571428571,4.269210526315789,,,129.7105263157895,83.02236842105263,4.043947368421052,255.8055555555555,,,,
60,2RS,15,BOLELEMI1,4,2RP,TRAVELER,45,83.9648888888889,93.25952380952381,286.3457777777778,13.85681818181818,4.303023255813954,,,126.9302325581395,83.92651162790698,3.823255813953489,237.5609756097561,,,,
60,2RS,15,BOLELEMI1,5,2RP,TRAVELER,55,83.81690909090909,92.88958333333333,286.075,13.68888888888889,4.214489795918367,,,129.1136363636364,84.13836734693876,3.824545454545455,226.265306122449,,,,
60,2RS,15,BOLELEMI1,6,2RP,TRAVELER,55,84.15545454545455,93.16,285.8879245283019,13.46181818181818,4.247333333333334,,,132.390243902439,82.47266666666667,3.750975609756098,222.6818181818182,,,,
60,2RS,15,BOLELEMI1,7,2RP,TRAVELER,52,84.22326923076922,93.15227272727272,286.1234042553191,13.63921568627451,4.399545454545454,,,133.6590909090909,81.35000000000001,3.834318181818182,239.2142857142857,,,,
60,2RS,15,BOLELEMI1,8,2RP,TRAVELER,36,84.2175,93.3030303030303,285.6180487804878,13.76829268292683,4.440909090909091,,,136.49375,80.6078125,3.8946875,274.375,,,,
60,2RS,15,BOLELEMI1,9,2RP,TRAVELER,37,83.68675675675675,93.12058823529412,286.422972972973,14.08918918918919,4.463823529411765,,,136.4676470588235,80.53264705882353,4.05,264.96875,,,,
60,2RS,15,BOLELEMI1,10,2RP,TRAVELER,22,84.48454545454545,93.18636363636364,286.6204545454545,13.18636363636364,4.253636363636364,,,144.9,83.05090909090909,4.007272727272727,270.9047619047619,,,,
60,2RS,15,BOLELEMI1,11,2RP,TRAVELER,31,84.59290322580645,92.55172413793103,286.5641935483871,12.66896551724138,4.344516129032258,,,143.0645161290323,85.75354838709679,3.739677419354838,269.8,,,,
60,2RS,15,BOLELEMI1,12,2RP,TRAVELER,43,84.45883720930233,92.81304347826087,286.5109302325581,12.78571428571429,4.340833333333333,,,144.9583333333333,86.56083333333333,3.66375,261.4166666666667,,,,
61,IBON,15,BOLELEMI1,1,2RP,IBON,2,84.78431818181818,93.12142857142858,286.0554545454546,12.6046511627907,4.23,,,151.0,86.7942857142857,3.642142857142857,208.875,,,,
61,IBON,15,BOLELEMI1,2,2RP,IBON,11,84.1009090909091,92.33,281.7638461538461,12.58461538461538,4.200833333333333,,,159.125,67.955,4.6575,274.1818181818182,,,,
61,IBON,15,BOLELEMI1,3,2RP,IBON,14,83.52642857142857,93.17142857142858,280.4655555555556,14.27142857142857,4.381428571428572,,,135.2142857142857,56.13785714285714,4.225714285714285,346.0,,,,
61,IBON,15,BOLELEMI1,4,2RP,IBON,8,83.05375,92.5875,282.64125,14.3125,4.4725,,,134.875,58.85125,4.33125,307.0,,,,
61,IBON,15,BOLELEMI1,5,2RP,IBON,9,84.03666666666668,93.01111111111112,282.76,13.64444444444444,4.411111111111111,,,123.095,55.58555555555555,3.48,320.2857142857143,,,,
61,IBON,15,BOLELEMI1,6,2RP,IBON,17,83.67235294117647,92.375,282.7911764705882,13.27333333333333,4.296428571428572,,,150.0,60.73071428571428,4.517857142857143,291.4615384615385,,,,
61,IBON,15,BOLELEMI1,7,2RP,IBON,19,83.91368421052633,93.41578947368421,282.8331578947368,14.35789473684211,4.630526315789474,,,143.4736842105263,53.85105263157894,4.482105263157894,351.8181818181818,,,,
61,IBON,15,BOLELEMI1,8,2RP,IBON,13,84.44153846153846,93.22500000000001,282.0007692307693,13.6,4.685384615384615,,,145.0769230769231,54.64615384615384,4.55076923076923,335.375,,,,
61,IBON,15,BOLELEMI1,9,2RP,IBON,8,84.0125,93.1125,283.25,14.0375,4.75875,,,145.625,56.0575,4.5375,321.3333333333333,,,,
61,IBON,15,BOLELEMI1,10,2RP,IBON,8,84.19,93.6,282.81,14.1625,4.55625,,,142.0,58.555,3.9875,277.0909090909091,,,,
61,IBON,15,BOLELEMI1,11,2RP,IBON,3,84.68323529411765,92.646875,286.2247058823529,12.653125,4.347058823529412,,,144.2852941176471,83.49617647058824,3.773235294117647,269.8,,,,
