batch_number,global_electric_energy_lhv_consumption,process_energy_gas_lhv_consumption,process_energy_heatpump_lhv_consumption,process_energy_cogeneration_lhv_consumption,global_thermal_energy_lhv_consumption,created_at,updated_at,deleted_at
C23C1001,24.61254473,200.5192782,206.4161012,0.0,406.9353794,,,
C23C1002,47.89962105,254.7961031,243.768027,0.0,498.5641301,,,
C23C1003,53.15675273865415,219.5690141,195.42723,0.0,414.9962441,,,
C23C1004,46.24107164541591,257.6188525,218.3834244,0.0,476.0022769,,,
C23C1005,53.99582977425259,227.302166,196.0829774,0.0,423.3851434,,,
C23C1006,46.118791125867794,266.8881678,218.8496831,0.0,485.7378509,,,
C23C1007,53.75763126131563,245.6016898,210.6988533,0.0,456.3005432,,,
C23C1008,46.507892662219525,250.4649788,214.6182535,0.0,465.0832323,,,
C23C1009,54.35656383628589,270.6047648,212.1652413,0.0,482.7700061,,,
C23C1010,45.452012323414486,246.8818756,197.7781785,0.0,444.6600541,,,
C23C1011,53.649755114693114,255.0283633,218.0123993,0.0,473.0407626,,,
C23C1012,45.91681818181818,252.6968182,195.7918182,0.0,448.4886364,,,
C23C1013,53.04309595202399,249.6413793,194.6491754,0.0,444.2905547,,,
C23C1014,54.59871923427529,275.6540565,193.7526588,0.0,469.4067153,,,
C23C1015,46.752136791022146,258.8598726,188.233849,0.0,447.0937216,,,
C23C1016,51.70876311844078,228.1655172,185.5745127,0.0,413.74003,,,
C23C1017,44.50319001803968,243.9376127,195.3869513,0.0,439.324564,,,
C23C1018,48.537297821545806,210.8607878,181.4762757,0.0,392.3370636,,,
C23C1019,45.49057564798071,272.5687161,211.1265823,0.0,483.6952984,,,
C23C1020,49.28261904761905,242.3625,188.6666667,0.0,431.0291667,,,
C23C1021,46.3945259799453,254.2055606,203.532361,0.0,457.7379216,,,
C23C1022,52.43201492537313,223.6835821,189.54,0.0,413.2235821,,,
C23C1023,34.456538461538464,264.5778462,192.792,0.0,457.3698462,,,
C23C1024,55.28182274247492,291.1783217,174.6333232,0.0,465.8116449,,,
C23C1025,58.248601419278536,265.2990834,183.867534,0.0,449.1666174,,,
C23C1026,54.08748815165876,286.5564277,186.1018957,0.0,472.6583235,,,
C23C1027,49.526804262984086,294.6534074,206.7487241,0.0,501.4021315,,,
C23C1028,55.05800357568533,257.1463051,182.5268176,0.0,439.6731228,,,
C23C1029,48.98417689314576,284.2919784,195.5603113,0.0,479.8522897,,,
C23C1030,52.724042329630734,227.0723506,162.7439207,0.0,389.8162714,,,
C23C1031,51.25029519730805,301.82487,219.6956256,0.0,521.5204956,,,
C23C1032,59.67863856149894,299.4900272,159.4681173,0.0,458.9581445,,,
C23C1033,50.98919664268585,243.3615108,191.6306954,0.0,434.9922062,,,
C23C1034,56.80462025316456,228.0244123,191.4972875,0.0,419.5216998,,,
C23C1035,51.22593107617896,238.6945284,197.8295042,0.0,436.5240326,,,
C23C1036,60.15581932130846,319.0749006,153.3173341,0.0,472.3922348,,,
C23C1037,49.71437368262571,320.504065,149.0948509,0.0,469.598916,,,
C23C1038,58.01240863787375,337.2268197,142.589852,0.0,479.8166717,,,
C23C1039,52.843348680171886,355.3245856,164.3707796,0.0,519.6953653,,,
C23C1040,60.32121736490589,308.7090164,162.3072253,0.0,471.0162417,,,
C23C1041,52.914483235927406,374.7457705,117.4284835,0.0,492.1742541,,,
C23C1042,45.7100378214826,264.9975794,190.6807867,0.0,455.6783661,,,
C23C1043,54.759013459773634,302.0148363,245.4769043,0.0,547.4917406,,,
C23C1044,75.23069363272839,250.9660105,197.3152876,0.0,448.2812981,,,
C23C1045,50.34542944785276,302.3406442,233.0668712,0.0,535.4075153,,,
C23C1046,60.3993709825528,267.8898072,211.3783287,0.0,479.2681359,,,
C23C1047,51.503897520167314,267.4858082,211.0684195,0.0,478.5542277,,,
C23C1048,58.22988105992171,253.1558266,214.6115628,0.0,467.7673893,,,
C23C1049,50.86215974537739,262.2481055,222.769324,0.0,485.0174295,,,
C23C1050,59.65845078979344,258.6556804,218.5160996,0.0,477.1717801,,,
C23C1051,56.051484224082415,296.037991,226.1146169,0.0,522.1526079,,,
C23C1052,60.81770335651648,256.9504082,216.9824614,0.0,473.9328697,,,
C23C1053,53.148599026467906,256.7820201,236.6656526,0.0,493.4476726,,,
C23C1054,59.72983401601761,250.0970532,217.1058263,0.0,467.2028795,,,
C23C1055,51.98788403157256,282.9754098,229.7996357,0.0,512.7750455,,,
C23C1056,60.03584362759868,135.7755348,167.5037662,183.7902983,487.0695993,,,
C23C1057,50.010449101796404,58.28847305,132.5149701,308.3832335,499.1866766,,,
C23C1058,52.45113485851896,33.14990969,125.4403974,301.0234798,459.6137869,,,
C23C1059,52.011283618581906,58.48762225,155.7481663,320.9046455,535.140434,,,
C23C1060,52.808170731707314,43.19862805,146.8292683,332.3170732,522.3449695,,,
C23C1061,50.50373857404022,67.01325411,129.7599025,292.5045704,489.277727,,,
C23C1062,54.70244471744471,47.2997543,148.0436118,316.3390663,511.6824324,,,
C23C1063,51.18302812595536,44.5515133,145.1060838,311.8312443,501.4888413,,,
C23C1064,54.87909353173398,45.13392044,136.8666869,315.8214394,497.8220468,,,
C23C1065,47.98972830981687,52.32482738,141.0045032,306.21435,499.5436806,,,
C23C1066,57.43101837672282,96.01883614,82.74425727,306.2787136,485.041807,,,
C23C1067,51.16260180995475,83.39321267,130.9912519,322.775264,537.1597285,,,
C23C1068,55.38982310250983,24.59963713,141.29,323.0,488.8896371,,,
C23C1069,51.62137055065409,61.52692425,143.573167,328.5670824,533.6671737,,,
C23C1070,54.59465978128797,42.06652491,108.2706561,315.9173755,466.2545565,,,
C23C1071,53.73121326870645,154.795365,19.35595274,330.2029688,504.3542866,,,
C23C1072,56.462341162300504,134.0108401,1.302017465,307.1364047,442.4492623,,,
C23C1073,50.3981673665267,139.9764547,1.457708458,317.9364127,459.3705759,,,
C23C1074,55.21362232779097,28.05685867,140.3444181,311.7577197,480.1589964,,,
C23C1075,49.55420048455482,47.26771654,133.2247123,296.7898243,477.2822532,,,
C23C1076,56.76909776704888,32.01191913,157.2341581,310.8026554,500.0487326,,,
C23C1077,52.309355083459785,37.25371775,131.231563,297.4203338,465.9056146,,,
C23C1078,55.555950060901345,53.57795371,110.7865408,313.6419001,478.0063946,,,
C23C1079,53.08617413845685,48.10430009,148.4083562,317.1698689,513.6825252,,,
C23C1080,55.164866989117286,40.01707981,126.8681983,308.3434099,475.228688,,,
C23C1081,53.827818015824704,61.51415094,152.6984175,301.2781497,515.4907182,,,
C23C1082,70.08745901639345,69.91120219,126.0245902,318.7613843,514.6971767,,,
C23C1083,53.20631522734208,54.57674702,134.0872749,308.2087275,496.8727495,,,
C23C1084,41.52305336567616,32.29275318,128.7522741,303.2140691,464.2590964,,,
C23C1085,54.426950464396285,91.96439628,200.1383901,346.749226,638.8520124,,,
C23C1086,55.78239408716854,70.4405669,168.1206949,246.8759525,485.4372143,,,
C23C1087,48.4683942717855,61.11608775,146.2288239,322.9737965,530.3187081,,,
C23C1088,54.55115641103365,46.40087905,155.6762655,297.0597151,499.1368597,,,
C23C1089,56.637298850574716,74.01584343,145.8045977,316.8685927,536.6890339,,,
C23C1090,47.55046518792359,73.40018484,141.2292052,314.232902,528.8622921,,,
C23C1091,62.12774643521388,125.3806572,132.900186,306.8815871,565.1624303,,,
C23C1092,56.51589887640449,64.02353477,174.6194959,331.0051625,569.6481931,,,
C23C1093,44.34713517665131,171.8958525,56.01290323,322.5806452,550.4894009,,,
C23C1094,56.30349315068493,122.8136986,103.7077626,319.6347032,546.1561644,,,
C23C1095,56.657661870503595,112.6524281,89.12529976,314.7482014,516.5259293,,,
C23C1096,54.64708133971292,48.96441388,129.6088517,322.9665072,501.5397727,,,
C23C1097,50.96781296907835,61.8017112,135.6484539,315.2206545,512.6708196,,,
C23C1098,-5.537438803263826,48.51269266,161.2728921,317.3164098,527.1019946,,,
C23C1099,49.77496983408748,60.63257919,133.2850679,310.7088989,504.626546,,,
C23C1100,45.64605039465695,44.6489071,141.9887675,309.6539162,496.2915908,,,
C23C1101,51.06494230185241,85.64758579,138.0230793,312.7846948,536.4553599,,,
C23C1102,52.80191729323308,71.5006015,133.9789474,306.7669173,512.2464662,,,
C23C1103,48.54315347721822,59.10296763,89.09352518,272.7817746,420.9782674,,,
C23C1104,51.40793689320388,38.9695085,154.1398665,342.8398058,535.9491808,,,
C23C1105,49.7139156626506,53.65165663,107.564759,334.3373494,495.5537651,,,
C23C1106,51.38156488549618,72.40259542,127.1880916,262.5954198,462.1861069,,,
C23C1107,49.14064903846154,80.73497596,90.23798077,366.5865385,537.5594952,,,
C23C1108,36.89293435712135,12.59078591,90.42818428,367.3592291,470.3781993,,,
C23C1109,46.99432100636557,185.3211579,112.0163686,257.6538345,554.991361,,,
C23C1110,63.76003793626707,31.44264036,159.8694992,306.5250379,497.8371775,,,
C23C1111,-346.5212326869806,86.29778393,155.7710065,313.9427516,556.011542,,,
C23C1112,,69.99326187,147.1222052,303.2159265,520.3313936,,,
C23C1113,444.540785123967,78.31404959,110.4187328,312.2130395,500.9458219,,,
C23C1114,,61.14451673,159.3317844,300.4956629,520.9719641,,,
C23C1115,50.454467401285584,64.8815427,103.2157943,315.2739516,483.3712886,,,
C23C1116,50.881664636003656,73.48720682,116.1772769,298.5074627,488.1719464,,,
C23C1117,49.41350637522769,80.18579235,105.6985428,306.6180935,492.5024287,,,
C23C1118,49.818155974460325,51.57692308,126.1498936,301.0033445,478.7301611,,,
C23C1119,48.62285474519378,52.99755874,109.0418065,353.9823009,516.0216662,,,
C23C1120,50.65836874051593,63.23080425,111.7086495,257.9666161,432.9060698,,,
C23C1121,50.70708737864077,87.86195388,105.9475121,300.3640777,494.1735437,,,
C23C1122,49.801297515713856,91.97590542,72.49895241,293.3253517,457.8002095,,,
C23C1123,48.437649804275814,57.71815718,109.2285456,304.1252635,471.0719663,,,
C23C1124,49.92828493647912,59.51406534,131.6273442,305.5051422,496.6465517,,,
C23C1125,48.109051593323215,50.8861912,104.2512898,306.5250379,461.662519,,,
C23C1126,48.126809290953545,90.91045232,141.6949878,323.9608802,556.5663203,,,
C23C1127,49.309188562596596,61.90803709,104.3697063,293.6630603,459.9408037,,,
C23C1128,50.90489703210176,66.0745003,133.0793459,269.533616,468.6874621,,,
C23C1129,49.23804414003044,27.75753425,131.7488584,343.9878234,503.4942161,,,
C23C1130,49.37860233200369,71.77355017,205.6584842,309.9110156,587.34305,,,
C23C1131,38.05249164895232,81.56164592,82.01032493,288.4907379,452.0627088,,,
C23C1132,50.57056842426089,92.52224931,72.99359951,295.6415727,461.1574215,,,
C23C1133,56.88287042591482,63.95020996,94.46970606,320.9358128,479.3557289,,,
C23C1134,49.26243902439025,46.32256098,162.5567073,301.8292683,510.7085366,,,
C23C1135,48.68109778317643,76.21849377,125.7771029,309.7479502,511.7435469,,,
C23C1136,53.217120838471025,68.27681874,182.5536375,311.3440197,562.174476,,,
C23C1137,49.33227745487917,153.6194555,77.77607831,312.0220251,543.4175589,,,
C23C1138,49.49346153846154,234.7061538,32.83076923,273.8461538,541.3830769,,,
C23C1139,51.80555214723926,252.9400307,4.174233129,315.9509202,573.065184,,,
C23C1140,51.67018234753294,232.1851057,3.938706712,288.0784554,524.2022679,,,
C23C1141,50.1074584103512,229.9574861,6.39125077,323.4750462,559.8237831,,,
C23C1142,49.9326320582878,83.95628415,144.273224,303.5822708,531.811779,,,
C23C1143,49.688325198291636,63.30613179,191.6766321,323.3679073,578.3506711,,,
C23C1144,51.32031383302864,73.16270567,175.1956124,304.6922608,553.0505789,,,
C23C1145,47.50138220054861,40.78802194,184.086559,310.880829,535.7554099,,,
C23C1146,50.27507455731594,106.4580615,203.5973905,316.8685927,626.9240447,,,
C23C1147,48.70513782542113,60.35650842,170.4591118,284.8392037,515.6548239,,,
C23C1148,44.13608564535585,26.15591074,188.3648975,289.5054282,504.0262364,,,
C23C1149,45.94267356881851,83.04582826,222.3447016,304.5066991,609.897229,,,
C23C1150,49.96841375150784,60.3958082,173.7506031,298.5524729,532.6988842,,,
C23C1151,50.79726880394575,93.67324291,207.0468557,323.674476,624.3945746,,,
C23C1152,51.37481762917933,64.36504559,178.4826748,300.9118541,543.7595745,,,
C23C1153,47.76665316531653,24.65616562,184.1188119,294.0294029,502.8043804,,,
C23C1154,48.73884260682447,56.09299109,184.5521057,276.6676914,517.3127882,,,
C23C1155,49.66081047381546,36.16692643,155.1695761,286.7830424,478.1195449,,,
C23C1156,49.63099757428744,58.49727107,178.6082474,300.1819284,537.2874469,,,
C23C1157,46.98963103552991,45.8882478,161.221986,291.5274825,498.6377164,,,
C23C1158,51.7809508644222,42.41082803,159.4722475,300.2729754,502.156051,,,
C23C1159,50.14386924718073,45.67753734,193.4739409,292.5937214,531.7451996,,,
C23C1160,49.96142967542504,49.33446677,173.7542504,296.7542504,519.8429675,,,
C23C1161,49.35054748941318,57.13475499,200.0635209,317.6043557,574.8026316,,,
C23C1162,50.85318181818182,31.61454545,187.9636364,272.7272727,492.3054545,,,
C23C1163,46.82269230769231,41.46369231,172.4123077,307.6923077,521.5683077,,,
C23C1164,48.50313317479192,57.68802021,175.3180737,291.3198573,524.3259512,,,
C23C1165,47.60781092312259,26.26669635,168.3392698,279.0145444,473.6205105,,,
