batch_number,production_line,done,created_at,updated_at,deleted_at
C23C1145,1,2024-01-15 16:30:00,,,
C23C1146,1,2024-01-16 12:30:00,,,
C23C1147,1,2024-01-17 08:30:00,,,
C23C1148,1,2024-01-18 04:30:00,,,
C23C1149,1,2024-01-19 00:30:00,,,
C23C1150,1,2024-01-19 20:30:00,,,
C23C1151,1,2024-01-20 16:30:00,,,
C23C1152,1,2024-01-21 12:30:00,,,
C23C1153,1,2024-01-22 08:30:00,,,
C23C1154,1,2024-01-23 04:30:00,,,
C23C1155,1,2024-01-24 00:30:00,,,
C23C1156,1,2024-01-24 20:30:00,,,
C23C1157,1,2024-01-25 16:30:00,,,
C23C1158,1,2024-01-26 12:30:00,,,
C23C1159,1,2024-01-27 08:30:00,,,
C23C1160,1,2024-01-28 04:30:00,,,
C23C1161,1,2024-01-29 00:30:00,,,
C23C1162,1,2024-01-29 20:30:00,,,
C23C1163,1,2024-01-30 16:30:00,,,
C23C1164,1,2024-01-31 12:30:00,,,
C23C1165,1,2024-02-01 08:30:00,,,
C23C1166,1,2024-02-02 04:30:00,,,
C23C1167,1,2024-02-03 00:30:00,,,
C23C1168,1,2024-02-03 20:30:00,,,
C23C1169,1,2024-02-04 16:30:00,,,
C23C1170,1,2024-02-05 12:30:00,,,
C23C1171,1,2024-02-06 08:30:00,,,
C23C1172,1,2024-02-07 04:30:00,,,
C23C1173,1,2024-02-08 00:30:00,,,
C23C1174,1,2024-02-08 20:30:00,,,
C23C1175,1,2024-02-09 16:30:00,,,
C23C1176,1,2024-02-10 12:30:00,,,
C23C1177,1,2024-02-11 08:30:00,,,
C23C1178,1,2024-02-12 04:30:00,,,
C23C1179,1,2024-02-13 00:30:00,,,
C23C1180,1,2024-02-13 20:30:00,,,
C23C1181,1,2024-02-14 16:30:00,,,
C23C1182,1,2024-02-15 12:30:00,,,
C23C1183,1,2024-02-16 08:30:00,,,
C23C1184,1,2024-02-17 04:30:00,,,
C23C1185,1,2024-02-18 00:30:00,,,
C23C1186,1,2024-02-18 20:30:00,,,
C23C1187,1,2024-02-19 16:30:00,,,
C23C1188,1,2024-02-20 12:30:00,,,
C23C1189,1,2024-02-21 08:30:00,,,
C23C1190,1,2024-02-22 04:30:00,,,
C23C1191,1,2024-02-23 00:30:00,,,
C23C1192,1,2024-02-23 20:30:00,,,
C23C1193,1,2024-02-24 16:30:00,,,
C23C1194,1,2024-02-25 12:30:00,,,
C23C1195,1,2024-02-26 08:30:00,,,
C23C1196,1,2024-02-27 04:30:00,,,
C23C1197,1,2024-02-28 00:30:00,,,
C23C1198,1,2024-02-28 20:30:00,,,
C23C1199,1,2024-02-29 16:30:00,,,
C23C1200,1,2024-03-01 12:30:00,,,
C23C1201,1,2024-03-02 08:30:00,,,
C23C1202,1,2024-03-03 04:30:00,,,
C23C1203,1,2024-03-04 00:30:00,,,
C23C1204,1,2024-03-04 20:30:00,,,
C23C1205,1,2024-03-05 16:30:00,,,
C23C1206,1,2024-03-06 12:30:00,,,
C23C1207,1,2024-03-07 08:30:00,,,
C23C1208,1,2024-03-08 04:30:00,,,
C23C1209,1,2024-03-09 00:30:00,,,
C23C1210,1,2024-03-09 20:30:00,,,
C23C1211,1,2024-03-10 16:30:00,,,
C23C1212,1,2024-03-11 12:30:00,,,
C23C1213,1,2024-03-12 08:30:00,,,
C23C1214,1,2024-03-13 04:30:00,,,
C23C1215,1,2024-03-14 00:30:00,,,
C23C1216,1,2024-03-14 20:30:00,,,
C23C1217,1,2024-03-15 16:30:00,,,
C23C1218,1,2024-03-16 12:30:00,,,
C23C1219,1,2024-03-17 08:30:00,,,
C23C1220,1,2024-03-18 04:30:00,,,
C23C1221,1,2024-03-19 00:30:00,,,
C23C1222,1,2024-03-19 20:30:00,,,
C23C1223,1,2024-03-20 16:30:00,,,
C23C1224,1,2024-03-21 12:30:00,,,
C23C1225,1,2024-03-22 08:30:00,,,
C23C1226,1,2024-03-23 04:30:00,,,
C23C1227,1,2024-03-24 00:30:00,,,
C23C1228,1,2024-03-24 20:30:00,,,
C23C1229,1,2024-03-25 16:30:00,,,
C23C1230,1,2024-03-26 12:30:00,,,
C23C1231,1,2024-03-27 08:30:00,,,
C23C1232,1,2024-03-28 04:30:00,,,
C23C1233,1,2024-03-29 00:30:00,,,
C23C1234,1,2024-03-29 20:30:00,,,
C23C1235,1,2024-03-30 16:30:00,,,
C23C1236,1,2024-03-31 12:30:00,,,
C23C1237,1,2024-04-01 08:30:00,,,
C23C1238,1,2024-04-02 04:30:00,,,
C23C1239,1,2024-04-03 00:30:00,,,
C23C1240,1,2024-04-03 20:30:00,,,
C23C1241,1,2024-04-04 16:30:00,,,
C23C1242,1,2024-04-05 12:30:00,,,
C23C1243,1,2024-04-06 08:30:00,,,
C23C1244,1,2024-04-07 04:30:00,,,
C23C1245,1,2024-04-08 00:30:00,,,
C23C1246,1,2024-04-08 20:30:00,,,
C23C1247,1,2024-04-09 16:30:00,,,
C23C1248,1,2024-04-10 12:30:00,,,
C23C1249,1,2024-04-11 08:30:00,,,
C23C1250,1,2024-04-12 04:30:00,,,
C23C1251,1,2024-04-13 00:30:00,,,
C23C1252,1,2024-04-13 20:30:00,,,
C23C1253,1,2024-04-28 00:30:00,,,
C23C1254,1,2024-04-28 20:30:00,,,
C23C1255,1,2024-04-29 16:30:00,,,
C23C1256,1,2024-04-30 12:30:00,,,
C23C1257,1,2024-05-01 08:30:00,,,
C23C1258,1,2024-05-02 04:30:00,,,
C23C1259,1,2024-05-03 00:30:00,,,
C23C1260,1,2024-05-03 20:30:00,,,
C23C1261,1,2024-05-04 16:30:00,,,
C23C1262,1,2024-05-05 12:30:00,,,
C23C1263,1,2024-05-06 08:30:00,,,
C23C1264,1,2024-05-07 04:30:00,,,
C23C1265,1,2024-05-08 00:30:00,,,
C23C1266,1,2024-05-08 20:30:00,,,
C23C1267,1,2024-05-09 16:30:00,,,
C23C1268,1,2024-05-10 12:30:00,,,
C23C1269,1,2024-05-11 08:30:00,,,
C23C1270,1,2024-05-12 04:30:00,,,
C23C1271,1,2024-05-13 00:30:00,,,
C23C1272,1,2024-05-13 20:30:00,,,
C23C1273,1,2024-05-14 16:30:00,,,
C23C1274,1,2024-05-15 12:30:00,,,
C23C1275,1,2024-05-16 08:30:00,,,
C23C1276,1,2024-05-17 04:30:00,,,
C23C1277,1,2024-05-18 06:30:00,,,
C23C1278,1,2024-05-19 02:30:00,,,
C23C1279,1,2024-05-19 22:30:00,,,
C23C1280,1,2024-05-20 18:30:00,,,
C23C1281,1,2024-05-21 14:30:00,,,
C23C1282,1,2024-05-22 10:30:00,,,
C23C1283,1,2024-05-23 06:30:00,,,
C23C1284,1,2024-05-24 02:30:00,,,
C23C1285,1,2024-05-24 22:30:00,,,
C23C1286,1,2024-05-25 18:30:00,,,
C23C1287,1,2024-05-26 14:30:00,,,
C23C1288,1,2024-05-27 10:30:00,,,
C23C1289,1,2024-05-28 06:30:00,,,
C23C1290,1,2024-05-29 02:30:00,,,
C23C1291,1,2024-05-29 22:30:00,,,
C23C1292,1,2024-05-30 18:30:00,,,
C23C1293,1,2024-05-31 14:30:00,,,
C23C1294,1,2024-06-01 10:30:00,,,
C23C1295,1,2024-06-02 06:30:00,,,
C23C1296,1,2024-06-03 02:30:00,,,
C23C1297,1,2024-06-03 22:30:00,,,
C23C1298,1,2024-06-04 18:30:00,,,
C23C1299,1,2024-06-05 14:30:00,,,
C23C1300,1,2024-06-06 10:30:00,,,
C23C1301,1,2024-06-07 06:30:00,,,
C23C1302,1,2024-06-08 02:30:00,,,
C23C1303,1,2024-06-08 22:30:00,,,
C23C1304,1,2024-06-09 18:30:00,,,
C23C1305,1,2024-06-10 14:30:00,,,
C23C1306,1,2024-06-11 10:30:00,,,
C23C1307,1,2024-06-12 06:30:00,,,
C23C1308,1,2024-06-13 02:30:00,,,
C23C1309,1,2024-06-13 22:30:00,,,
C23C1310,1,2024-06-14 18:30:00,,,
C23C1311,1,2024-06-15 14:30:00,,,
C23C1312,1,2024-06-16 10:30:00,,,
C23C1313,1,2024-06-17 06:30:00,,,
C23C1314,1,2024-06-18 02:30:00,,,
C23C1315,1,2024-06-18 22:30:00,,,
C23C1316,1,2024-06-19 18:30:00,,,
C23C1317,1,2024-06-20 14:30:00,,,
C23C1318,1,2024-06-21 10:30:00,,,
C23C1319,1,2024-06-22 06:30:00,,,
C23C1320,1,2024-06-23 02:30:00,,,
C23C1321,1,2024-06-23 22:30:00,,,
C23C1322,1,2024-06-24 18:30:00,,,
C23C1323,1,2024-06-25 14:30:00,,,
C23C1324,1,2024-06-26 10:30:00,,,
C23C1325,1,2024-06-27 06:30:00,,,
C23C1326,1,2024-06-28 02:30:00,,,
C23C1327,1,2024-06-28 22:30:00,,,
C23C1328,1,2024-06-29 18:30:00,,,
C23C1329,1,2024-06-30 14:30:00,,,
C23C1330,1,2024-07-01 10:30:00,,,
C23C1331,1,2024-07-02 06:30:00,,,
C23C1332,1,2024-07-03 02:30:00,,,
C23C1333,1,2024-07-03 22:30:00,,,
C23C1334,1,2024-07-04 18:30:00,,,
C23C1335,1,2024-07-05 14:30:00,,,
C23C1336,1,2024-07-06 10:30:00,,,
C23C1337,1,2024-07-07 06:30:00,,,
C23C1338,1,2024-07-08 02:30:00,,,
C23C1339,1,2024-07-08 22:30:00,,,
C23C1340,1,2024-07-09 18:30:00,,,
C23C1341,1,2024-07-10 14:30:00,,,
C23C1342,1,2024-07-11 10:30:00,,,
C23C1343,1,2024-07-12 06:30:00,,,
C23C1344,1,2024-07-13 02:30:00,,,
C23C1345,1,2024-07-13 22:30:00,,,
C23C1346,1,2024-07-14 18:30:00,,,
C23C1347,1,2024-07-15 14:30:00,,,
C23C1348,1,2024-07-16 10:30:00,,,
C23C1349,1,2024-07-17 06:30:00,,,
C23C1350,1,2024-07-18 02:30:00,,,
C23C1351,1,2024-07-18 22:30:00,,,
C23C1352,1,2024-07-19 18:30:00,,,
C23C1353,1,2024-07-20 14:30:00,,,
C23C1354,1,2024-07-21 10:30:00,,,
C23C1355,1,2024-07-22 06:30:00,,,
C23C1356,1,2024-07-23 02:30:00,,,
C23C1357,1,2024-07-23 22:30:00,,,
C23C1358,1,2024-07-24 18:30:00,,,
C23C1359,1,2024-07-25 14:30:00,,,
C23C1360,1,2024-07-26 10:30:00,,,
C23C1361,1,2024-07-27 06:30:00,,,
C23C1362,1,2024-07-28 02:30:00,,,
C23C1363,1,2024-07-28 22:30:00,,,
C23C1364,1,2024-07-29 18:30:00,,,
C23C1365,1,2024-07-30 14:30:00,,,
C23C1366,1,2024-07-31 10:30:00,,,
C23C1367,1,2024-08-01 06:30:00,,,
C23C1368,1,2024-08-02 02:30:00,,,
C23C1369,1,2024-08-02 22:30:00,,,
C23C1370,1,2024-08-03 18:30:00,,,
C23C1371,1,2024-08-04 14:30:00,,,
C23C1372,1,2024-08-05 10:30:00,,,
C23C1373,1,2024-08-06 06:30:00,,,
C23C1374,1,2024-08-07 02:30:00,,,
C23C1375,1,2024-08-07 22:30:00,,,
C23C1376,1,2024-08-08 18:30:00,,,
C23C1377,1,2024-08-09 14:30:00,,,
C23C1378,1,2024-08-10 10:30:00,,,
C23C1379,1,2024-08-11 06:30:00,,,
C23C1380,1,2024-08-12 02:30:00,,,
C23C1381,1,2024-08-12 22:30:00,,,
C23C1382,1,2024-08-13 18:30:00,,,
C23C1383,1,2024-08-14 14:30:00,,,
C23C1384,1,2024-08-15 10:30:00,,,
C23C1385,1,2024-08-16 06:30:00,,,
C23C1386,1,2024-08-17 02:30:00,,,
C23C1387,1,2024-08-17 22:30:00,,,
C23C1388,1,2024-08-18 18:30:00,,,
C23C1389,1,2024-08-19 14:30:00,,,
C23C1390,1,2024-08-21 06:30:00,,,
C23C1391,1,2024-08-22 02:30:00,,,
C23C1392,1,2024-08-22 22:30:00,,,
C23C1393,1,2024-08-27 02:30:00,,,
C23C1394,1,2024-08-27 22:30:00,,,
C23C1395,1,2024-08-28 18:30:00,,,
C24C1001,1,2024-08-20 10:30:00,,,
C24C1002,1,2024-08-23 18:30:00,,,
C24C1003,1,2024-08-24 14:30:00,,,
C24C1004,1,2024-08-25 10:30:00,,,
C24C1005,1,2024-08-26 06:30:00,,,
C24C1006,1,2024-08-29 14:30:00,,,
C24C1007,1,2024-08-30 10:30:00,,,
C24C1008,1,2024-08-31 06:30:00,,,
C24C1009,1,2024-09-01 02:30:00,,,
C24C1010,1,2024-09-01 22:30:00,,,
C24C1011,1,2024-09-02 18:30:00,,,
C24C1012,1,2024-09-03 14:30:00,,,
C24C1013,1,2024-09-04 10:30:00,,,
C24C1014,1,2024-09-05 06:30:00,,,
C24C1015,1,2024-09-06 02:30:00,,,
C24C1016,1,2024-09-06 22:30:00,,,
C24C1017,1,2024-09-07 18:30:00,,,
C24C1018,1,2024-09-08 14:30:00,,,
C24C1019,1,2024-09-09 10:30:00,,,
C24C1020,1,2024-09-10 06:30:00,,,
C24C1021,1,2024-09-11 02:30:00,,,
C24C1022,1,2024-09-12 04:30:00,,,
C24C1023,1,2024-09-13 00:30:00,,,
C24C1024,1,2024-09-13 20:30:00,,,
C24C1025,1,2024-09-14 16:30:00,,,
C24C1026,1,2024-09-15 12:30:00,,,
C24C1027,1,2024-09-16 08:30:00,,,
C24C1028,1,2024-09-17 04:30:00,,,
C24C1029,1,2024-09-18 00:30:00,,,
C24C1030,1,2024-09-18 20:30:00,,,
C24C1031,1,2024-09-19 16:30:00,,,
C24C1032,1,2024-09-20 12:30:00,,,
C24C1033,1,2024-09-21 08:30:00,,,
C24C1034,1,2024-09-22 04:30:00,,,
C24C1035,1,2024-09-23 00:30:00,,,
C24C1036,1,2024-09-23 20:30:00,,,
C24C1037,1,2024-09-24 16:30:00,,,
C24C1038,1,2024-09-25 12:30:00,,,
C24C1039,1,2024-09-26 08:30:00,,,
C24C1040,1,2024-09-27 04:30:00,,,
C23C1041,1,2024-09-28 00:30:00,,,
C24C1042,1,2024-09-28 20:30:00,,,
C24C1043,1,2024-09-29 16:30:00,,,
C24C1044,1,2024-09-30 12:30:00,,,
C24C1045,1,2024-10-01 08:30:00,,,
C24C1046,1,2024-10-02 04:30:00,,,
C24C1047,1,2024-10-03 00:30:00,,,
C24C1048,1,2024-10-03 20:30:00,,,
C24C1049,1,2024-10-04 16:30:00,,,
C24C1050,1,2024-10-05 11:30:00,,,
C24C1051,1,2024-10-06 06:30:00,,,
C24C1052,1,2024-10-07 01:30:00,,,
C24C1053,1,2024-10-07 20:30:00,,,
C24C1054,1,2024-10-08 15:30:00,,,
C24C1055,1,2024-10-09 10:30:00,,,
C24C1056,1,2024-10-10 05:30:00,,,
C24C1057,1,2024-10-11 00:30:00,,,
C24C1058,1,2024-10-11 19:30:00,,,
C24C1059,1,2024-10-12 14:30:00,,,
C24C1060,1,2024-10-13 09:30:00,,,
C24C1061,1,2024-10-14 04:30:00,,,
C24C1062,1,2024-10-14 23:30:00,,,
C24C1063,1,2024-10-15 18:30:00,,,
C24C1064,1,2024-10-17 13:30:00,,,
C24C1065,1,2024-10-17 08:30:00,,,
C24C1066,1,2024-10-18 03:30:00,,,
C24C1067,1,2024-10-19 22:30:00,,,
C24C1068,1,2024-10-20 17:30:00,,,
C24C1069,1,2024-10-21 12:30:00,,,
C24C1070,1,2024-10-22 00:00:00,,,
C24C1071,1,2024-10-23 00:00:00,,,
C24C1072,1,2024-10-24 00:00:00,,,
C24C1073,1,2024-10-24 16:30:00,,,
C24C1074,1,2024-10-25 11:30:00,,,
C24C1075,1,2024-10-26 06:30:00,,,
C24C1076,1,2024-10-27 00:00:00,,,
C24C1077,1,2024-10-28 00:00:00,,,
C24C1078,1,2024-10-29 00:00:00,,,
C24C1079,1,2024-10-30 00:00:00,,,
C24C1080,1,2024-10-31 00:00:00,,,
C24C1081,1,2024-11-01 00:00:00,,,
C24C1082,1,2024-11-01 00:00:00,,,
C24C1083,1,2024-11-02 00:00:00,,,
C24C1084,1,2024-11-03 00:00:00,,,
C24C1085,1,2024-11-04 00:00:00,,,
C24C1086,1,2024-11-05 00:00:00,,,
C24C1087,1,2024-11-06 00:00:00,,,
C24C1088,1,2024-11-06 00:00:00,,,
C24C1089,1,2024-11-07 00:00:00,,,
C24C1090,1,2024-11-08 00:00:00,,,
C24C1091,1,2024-11-09 00:00:00,,,
C24C1092,1,2024-11-10 00:00:00,,,
C24C1093,1,2024-11-11 00:00:00,,,
C24C1094,1,2024-11-11 00:00:00,,,
C24C1095,1,2024-11-12 00:00:00,,,
C24C1096,1,2024-11-13 00:00:00,,,
C24C1097,1,2024-11-14 00:00:00,,,
C24C1098,1,2024-11-15 00:00:00,,,
C24C1099,1,2024-11-15 00:00:00,,,
C24C1100,1,2024-11-16 00:00:00,,,
C24C1101,1,2024-11-17 00:00:00,,,
C24C1102,1,2024-11-18 00:00:00,,,
C24C1103,1,2024-11-19 00:00:00,,,
C24C1104,1,2024-11-19 00:00:00,,,
C24C1105,1,2024-11-20 00:00:00,,,
C24C1106,1,2024-11-21 00:00:00,,,
C24C1107,1,2024-11-22 00:00:00,,,
C24C1108,1,2024-11-23 00:00:00,,,
C24C1109,1,2024-11-23 00:00:00,,,
C24C1110,1,2024-11-24 00:00:00,,,
C24C1111,1,2024-11-25 00:00:00,,,
C24C1112,1,2024-11-26 00:00:00,,,
C24C1113,1,2024-11-27 00:00:00,,,
C24C1114,1,2024-11-27 00:00:00,,,
C24C1115,1,2024-11-28 00:00:00,,,
C24C1116,1,2024-11-29 00:00:00,,,
C24C1117,1,2024-11-30 00:00:00,,,
C24C1118,1,2024-12-01 00:00:00,,,
C24C1119,1,2024-12-02 00:00:00,,,
C24C1120,1,2024-12-02 00:00:00,,,
C24C1121,1,2024-12-03 00:00:00,,,
C24C1122,1,2024-12-04 00:00:00,,,
