id_requirement_specification;name
0;UNDEFINED
1;HEIN-C
2;HEIN-A
3;GLOBE / SACOFRINA 6RH
4;GLOBE / SACOFRINA 2RP
5;ABI4 / MUBEX 2P6
6;ABI2 6RH / LOUVAIN
7;SKOLL
8;GOUDALE 2RP
9;CASTELAIN
10;SST OMER 6RH
11;DUBUISSON 2P6
12;DUYCK 6RH
13;HAACHT 6RH
14;EFES
15;HEINEKEN C 6RH PILSEN
16;SAPPORO 2RP PILSEN
17;HEINEKEN A 2RP PILSEN
18;STANDARD/BIO 6RH
19;STANDARD/BIO 2RP
20;CARLSBERG 6RH
21;CARLSBERG 2RP
22;HEINEKEN A 6RH PILSEN
23;Diekirch 2RP
24;Céris RP
25;Asahi
26;Champigneulles 6 RH
27;Kronenbourg 2RP
28;SFBT 2RP
29;Heineken A
30;Heineken C
31;EFES 2RP
32;Kronenbourg 6RH
33;Diekirch /Louvain 6RH
34;Star Algérie 6RH
35;Star Algérie 2RP
36;BLM  C
37;St Omer
38;SAB   6RH
39;Varèse 2RP
40;Varèse 6RH
41;Lancelot 2RP
42;Coreff 2RP
43;Sacofrina / Globe
44;Mubex
45;HEINEKEN C 6RH PILSEN
46;Louvain
47;Skol
48;Goudale
49;HEINEKEN A 2RP PILSEN
50;HEINEKEN VIENNE
51;HEINEKEN C 6RH PILSEN
52;HEINEKEN A 2RP PILSEN
53;STANDARD/BIO 6RH
54;STANDARD/BIO 2RP
55;Kronenbourg 2RP
56;Kronenbourg 6RH
57;Licorne 2RP
58;Kronenbourg 6RH Responsable
59;STANDARD
